row_index,scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,active_peak_response_index,0-hop,1-hop,2-hop,3+-hop
0,138,I,HS1306571,2,6,53.7879,53.7879,2.3862647588127697,0.20801977572860428,2.3862647588127697,0.0013128787971041736,2.104421696936992
1,172,I,HS1306904,8,6,114.7473,114.7473,11.157097915405657,0.0005484633431011971,11.157097915405657,0.0016376691176427148,0.8344123149666934
2,173,I,HS1306904,8,6,95.6227,95.6227,9.313688231048175,0.0005336924903741278,9.313688231048175,0.0016094611299131182,0.7102725727103935
3,136,I,HS1306571,8,6,64.5455,64.5455,2.7568475907642704,0.30781428329058874,2.7568475907642704,0.0007322256551161452,2.5772428289556415
4,45,I,HS2003046,8,6,44.5183,44.5183,1.1072129420055719,0.001162599218756229,0.015404312256642867,0.0016784055922552535,1.1072129420055719
5,140,I,HS1306571,8,6,43.0303,43.0303,1.848304850633268,0.11493994394154855,1.848304850633268,0.0007813085859131451,1.6492256528518856
6,98,I,HS1306601,14,6,86.3997,86.3997,3.209547384147366,0.3160459840149847,0.03380572188115542,2.701889345612112,3.209547384147366
7,102,I,HS1316202,14,6,45.5119,45.5119,11.826246755832692,0.0006870515222778191,1.8802594723589265,11.826246755832692,0.1672928606122822
8,100,I,HS1306601,2,12,86.3997,86.3997,2.9971926062955023,0.29513955210510345,0.0554269533617877,2.9971926062955023,2.8101405400914667
9,1,I,HS1313402,8,12,61.7252,61.7252,4.550631386902505,0.00032021566446033327,0.001659797718316419,2.1917420529738134,4.550631386902505
10,5,I,HS1313402,8,12,41.1501,41.1501,3.100201171674185,0.0003591286042145618,0.0017624325962862445,1.4641398557598067,3.100201171674185
11,159,I,HS1314477,14,12,136.289,136.289,0.41410090728097004,0.0002943045576566369,0.41410090728097004,0.008276640793827755,0.36498978160901696
12,42,I,HS2003046,14,12,44.5183,44.5183,1.4069812199230496,0.0014235352589694694,0.013283115672380079,0.02138672952093421,1.4069812199230496
13,171,I,HS1306904,20,12,76.4982,76.4982,7.726698383106164,0.00032634610158204777,7.726698383106164,0.0016062362141978919,0.6278896453928761
14,3,I,HS1313402,20,12,61.7252,61.7252,5.225274074680204,0.00047501942518434533,0.0020971709674723403,2.271304888413799,5.225274074680204
15,139,I,HS1306571,20,12,53.7879,53.7879,2.3880613039276715,0.4558294984315367,2.3880613039276715,0.0014842135145133896,2.345817923768678
