row_index,scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,active_peak_response_index
0,173,I,HS1306904,8,6,95.6227,95.6227,9.313688231048175
1,77,I,HS1344263,8,6,8.4604,8.4604,1.0768063480572274
2,33,I,HS1311288,8,6,0.1798,0.1798,0.03882714040419149
3,123,I,HS1313140,14,6,5.4027,5.4027,0.5222251166025523
4,64,I,HS1316417,14,6,3.8316,3.8316,0.304702226545477
5,11,I,VP0232532,14,6,0.8664,0.8664,0.15141288949706072
6,16,I,MH0201629,20,6,4.1913,4.1913,3.215861788663985
7,195,I,HS1313001,20,6,3.5263,3.5263,2.3184170550516616
8,180,I,HS1324403,2,12,31.3328,31.3328,3.0837919655679387
9,47,I,HS1314505,2,12,15.0955,15.0955,0.055646514721103366
10,235,I,HS1313253,8,12,4.0451,4.0451,1.4895029567924036
11,80,I,HS1344263,14,12,8.4604,8.4604,1.2197099947347918
12,76,I,HS1344263,14,12,5.6403,5.6403,0.813456686704108
13,183,I,HS1316415,14,12,2.8392,2.8392,1.1308478793570422
14,224,I,HS1330842,20,12,4.3084,4.3084,0.7508651815661583
15,10,I,MH0258475,20,12,1.3876,1.3876,0.22148961021591612
16,52,I,HS1316563,2,18,27.8641,27.8641,16.936480450272704
17,25,I,HS1308259,2,18,7.3777,7.3777,0.9555304324648993
18,125,I,HS1313140,2,18,3.6018,3.6018,0.39011255490585783
19,79,I,HS1344263,8,18,5.6403,5.6403,0.8137221207910985
20,86,I,MH0200661,8,18,2.0885,2.0885,0.3388192520103414
21,185,I,HS1316415,14,18,2.8392,2.8392,1.1308478793570422
22,2,I,HS1313402,20,18,51.4377,51.4377,4.373546131249538
23,201,I,HS2003111,20,18,14.8606,14.8606,0.5036732433042184
24,66,I,HS1313025,2,24,11.1002,11.1002,1.9800122946537946
25,151,I,HS1316721,2,24,6.6542,6.6542,0.40638676527300344
26,248,I,HS1344920,2,24,2.5461,2.5461,0.29890407036755484
27,6,I,MH0258475,8,24,1.6652,1.6652,0.2590738585939037
28,118,I,HS2003015,14,24,44.5072,44.5072,0.32390878485049285
29,133,I,HS2003085,14,24,18.8357,18.8357,0.6524139949317436
30,112,I,HS1306471,14,24,0.8566,0.8566,0.07583464585815716
31,32,I,HS1311288,14,24,0.1798,0.1798,0.043500883366525224
32,394,E,MH0101924,0,6,-18.1911,18.1911,6.838689266228492
33,383,E,HS2003046,0,6,-16.628,16.628,1.2358372514132323
34,356,E,HS1316643,0,6,-4.4392,4.4392,3.4695580140140323
35,360,E,HS1316643,0,6,-3.5514,3.5514,2.853674655562346
36,273,E,HS1308302,6,6,-9.4323,9.4323,0.04171946739756941
37,268,E,HS1308259,18,6,-6.7058,6.7058,0.72311907371193
38,403,E,MH0201629,18,6,2.7913,2.7913,2.1781351786908223
39,301,E,HS1313253,18,6,-0.0,0.0,0.0
40,323,E,HS1313835,0,12,-27.977,27.977,4.336447195711093
41,397,E,MH0200661,0,12,-0.8409,0.8409,0.18969813107091427
42,416,E,VP0232532,0,12,-0.7202,0.7202,0.19818574628853813
43,306,E,HS1313298,6,12,-5.2215,5.2215,1.8564998991438726
44,408,E,MH0201710,6,12,-2.0695,2.0695,0.9224392579001043
45,285,E,HS1313001,6,12,-1.1105,1.1105,0.6781555309344386
46,400,E,MH0200661,6,12,-0.5606,0.5606,0.09481940259615126
47,325,E,HS1313835,12,12,-18.6513,18.6513,1.2774484555508026
48,379,E,HS2003015,0,18,-29.636,29.636,7.0736231854644895
49,289,E,HS1313025,0,18,-6.0623,6.0623,0.9787028560739154
50,261,E,HS1306904,6,18,-38.4051,38.4051,2.558367992717839
51,414,E,MH0242782,6,18,-1.6645,1.6645,0.22026444443664625
52,384,E,HS2003046,12,18,-16.628,16.628,0.6229748955101536
53,267,E,HS1308259,18,18,-5.5882,5.5882,1.407360713208238
54,374,E,HS1344263,18,18,-5.3331,5.3331,0.816214530030756
55,406,E,MH0201710,18,18,-1.7246,1.7246,1.0960640836304112
56,270,E,HS1308259,0,24,-5.5882,5.5882,1.366465772196812
57,413,E,MH0242782,0,24,-1.1097,1.1097,0.1599057033327969
58,341,E,HS1316202,6,24,-27.6407,27.6407,3.833439322159301
59,286,E,HS1313025,12,24,-7.5778,7.5778,3.125725758260896
60,411,E,MH0242782,12,24,-1.3871,1.3871,0.1949414321427656
61,366,E,HS1324403,18,24,-23.5511,23.5511,2.4047177175753207
62,310,E,HS1313298,18,24,-5.2215,5.2215,2.079668681671689
63,362,E,HS1316721,18,24,-2.7005,2.7005,0.17098425948460222
