scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,dominant_hop_band,active_peak_response_index,peak_0-hop,peak_1-hop,peak_2-hop,peak_3+-hop,flow_rank_pct
1,I,HS1313402,8,12,61.7252,61.7252,3+-hop,4.550631386902505,0.00032021566446033327,0.001659797718316419,2.1917420529738134,4.550631386902505,0.932
2,I,HS1313402,20,18,51.4377,51.4377,3+-hop,4.373546131249538,0.000488048383695097,0.0019386754263251195,1.8957538067141309,4.373546131249538,0.912
3,I,HS1313402,20,12,61.7252,61.7252,3+-hop,5.225274074680204,0.00047501942518434533,0.0020971709674723403,2.271304888413799,5.225274074680204,0.932
4,I,HS1313402,2,18,61.7252,61.7252,3+-hop,5.214041948297753,0.0003500234446242561,0.0021207035230280525,2.2903840823389334,5.214041948297753,0.932
5,I,HS1313402,8,12,41.1501,41.1501,3+-hop,3.100201171674185,0.0003591286042145618,0.0017624325962862445,1.4641398557598067,3.100201171674185,0.88
6,I,MH0258475,8,24,1.6652,1.6652,3+-hop,0.2590738585939037,0.0049117292050489154,0.004611335630447142,0.004046157399689484,0.2590738585939037,0.16
7,I,MH0258475,8,12,1.1101,1.1101,3+-hop,0.16543930664713524,0.004079498152930657,0.0038296613153657867,0.0040736573320682675,0.16543930664713524,0.094
8,I,MH0258475,2,12,1.1101,1.1101,3+-hop,0.19856722380412978,0.00547825422220064,0.0035852779253413647,0.005341925529520204,0.19856722380412978,0.094
9,I,MH0258475,20,24,1.3876,1.3876,3+-hop,0.22148961021591612,0.008945688808255303,0.006545449442288821,0.006804599067367225,0.22148961021591612,0.122
10,I,MH0258475,20,12,1.3876,1.3876,3+-hop,0.22148961021591612,0.008945688808255303,0.006545449442288821,0.006804599067367225,0.22148961021591612,0.122
11,I,VP0232532,14,6,0.8664,0.8664,2-hop,0.15141288949706072,0.007766796415908403,0.0022260453489303987,0.15141288949706072,0.07392101433565947,0.066
12,I,VP0232532,20,6,0.8664,0.8664,2-hop,0.1537745385252306,0.003304570442844265,0.00316482739196258,0.1537745385252306,0.05525636352886403,0.066
13,I,VP0232532,2,6,0.5776,0.5776,2-hop,0.121093709433775,0.004202850264972952,0.010792788315585645,0.121093709433775,0.059216838205589775,0.026
14,I,VP0232532,14,6,0.5776,0.5776,2-hop,0.11118446093884626,0.007113887645858455,0.0024203191309785867,0.11118446093884626,0.04937043005640661,0.026
15,I,VP0232532,14,24,0.722,0.722,2-hop,0.13648555539867466,0.008538725680494994,0.006611313471706364,0.13648555539867466,0.06175726315197828,0.032
16,I,MH0201629,20,6,4.1913,4.1913,0-hop,3.215861788663985,3.215861788663985,0.0005491310688754127,0.7363943090441643,0.3171490455411674,0.384
17,I,MH0201629,14,6,4.1913,4.1913,0-hop,1.9251371554377115,1.9251371554377115,0.00035486497135894487,0.6186794324070458,0.22191950837885563,0.384
18,I,MH0201629,8,18,2.7942,2.7942,0-hop,1.7215723686873328,1.7215723686873328,0.0007370396021664713,0.4406390311370498,0.16871211187140545,0.278
